Start,End,StartM,EndM,length,lengthM
50,137,0.217835,0.228396,87,0.010560999999999987
1420,1906,0.275443,0.293156,486,0.017713000000000034
4093,5352,0.420207,0.472716,1259,0.05250900000000003
5421,5807,0.477149,0.504636,386,0.027486999999999984
7029,7242,0.565058,0.579234,213,0.014176000000000077
