Start,End,StartM,EndM,length,lengthM
2335,3747,0.318208,0.398042,1412,0.07983400000000002
5001,5206,0.45506,0.465532,205,0.010471999999999981
5470,5735,0.483176,0.499304,265,0.01612800000000003
9068,9343,0.624099,0.635868,275,0.01176900000000003
9582,9788,0.649457,0.661685,206,0.012228000000000017
