,Jump Rate,LL
0,200.0,-51797.198894522575
1,222.22222222222223,-51696.60468288467
2,244.44444444444446,-51638.49841305594
3,266.66666666666663,-51615.40140454957
4,288.8888888888889,-51621.60538623883
5,311.1111111111111,-51652.65190931018
6,333.3333333333333,-51704.99042592294
7,355.55555555555554,-51775.74608632198
8,377.77777777777777,-51862.557497531794
9,400.0,-51963.46055019205
