Start,End,StartM,EndM,length,lengthM
571,719,1.483024,1.496532,148,0.013508000000000076
3500,3727,1.627885,1.639566,227,0.011681000000000052
4329,4603,1.657483,1.66875,274,0.011266999999999916
5371,8061,1.741081,1.900984,2690,0.1599029999999999
8085,8563,1.903448,1.926515,478,0.02306699999999995
9249,9483,1.977156,1.989974,234,0.012817999999999996
